Species,Population 1,Population 2,ave_dist,short_dist,PhiST value,Pop 1 size eDNA,Pop 2 size eDNA,p-value,fdr p-value,bonferroni p-value,sig p-value,sig fdr,sig bon,previous long phist,previous long pvalue,previous long fdr pvalue,previous short phist,previous short pvalue,previous short fdr pvalue,Pop 1 size tissue,Pop 2 size tissue
Cephalopholis argus,Maui,Oahu,183,107,0.163408849,188,42,0,0,0,yes,yes,yes,-0.011913215,0.828171828,0.828171828,-0.018495924,0.999000999,0.999000999,53,53
Cephalopholis argus,Oahu,Kauai,180,116,0.475880438,42,46,0,0,0,yes,yes,yes,-0.012402147,0.558441558,0.704895105,-0.02421985,0.811188811,0.973426573,53,23
Chaetodon miliaris,Hawaii,Kauai,490,429,0.304489316,41,109,0,0,0,yes,yes,yes,-0.017032106,0.413586414,0.618381618,-0.04763749,0.67032967,0.96983017,10,18
Chaetodon miliaris,Hawaii,Oahu,329,250,0.584697073,41,186,0,0,0,yes,yes,yes,-0.028374838,0.59040959,0.618381618,-0.067692395,0.808191808,0.96983017,10,23
Chaetodon miliaris,Oahu,Kauai,180,116,0.324296006,186,109,0,0,0,yes,yes,yes,-0.022663287,0.618381618,0.618381618,-0.037313534,0.654345654,0.96983017,23,18
Chaetodon multicinctus,Hawaii,Kauai,490,429,0.482167769,881,474,0,0,0,yes,yes,yes,-0.01288093,0.81018981,0.944055944,-0.010869565,0.741258741,0.999000999,31,31
Chaetodon multicinctus,Hawaii,Maui,151,46,0.005878585,881,26,0.415584416,0.415584416,1,no,no,no,-0.029612279,0.944055944,0.944055944,-0.031976804,0.78021978,0.999000999,31,14
Chaetodon multicinctus,Hawaii,Oahu,329,250,0.138244938,881,173,0,0,0,yes,yes,yes,0.016381136,0.12987013,0.38961039,-0.02373581,0.88011988,0.999000999,31,16
Chaetodon multicinctus,Maui,Kauai,353,297,0.302996431,26,474,0,0,0,yes,yes,yes,-0.026748051,0.848151848,0.944055944,-0.033606554,0.999000999,0.999000999,14,31
Chaetodon multicinctus,Maui,Oahu,183,107,0.05734436,26,173,0.094905095,0.113886114,0.569430569,no,no,no,-0.000866426,0.410589411,0.821178821,0.009860592,0.45954046,0.999000999,14,16
Chaetodon multicinctus,Oahu,Kauai,180,116,0.3510117,173,474,0,0,0,yes,yes,yes,0.0308826,0.035964036,0.215784216,-0.02373581,0.689310689,0.999000999,16,31
Chromis vanderbilti,Hawaii,Kauai,490,429,0.037048377,3756,1833,0,0,0,yes,yes,yes,-0.008506118,0.634365634,0.948051948,-0.00795195,0.723276723,0.736263736,32,30
Chromis vanderbilti,Hawaii,Maui,151,46,0.018100471,3756,2520,0,0,0,yes,yes,yes,-0.001883991,0.407592408,0.948051948,0.008875645,0.4995005,0.736263736,32,30
