Scientific_Name,HawaiianName,Population,n_long,H_long,h_long,π_long,n_short,H_short,h_short,π_short,n_ee025_pa,H_ee025_pa,h_ee025_pa,π_ee025_pa,n_ee05_pa,H_ee05_pa,h_ee05_pa,π_ee05_pa,n_ee025_scaled,H_ee025_scaled,h_ee025_scaled,π_ee025_scaled,n_ee05_scaled,H_ee05_scaled,h_ee05_scaled,π_ee05_scaled,n_ee025_raw,H_ee025_raw,h_ee025_raw,π_ee025_raw,n_ee05_raw,H_ee05_raw,h_ee05_raw,π_ee05_raw
Pycnochromis vanderbilti,unknown,Hawai'i Island,32,9,0.696,0.001,32,4,0.288,0.001,48,13,0.441,0.002,48,13,0.441,0.002,85,13,0.36,0.002,88,13,0.349,0.002,3756,13,0.257,0.0012,3858,13,0.255,0.0012
Pycnochromis vanderbilti,unknown,Maui,30,8,0.51,0.001,30,2,0.067,0.001,32,6,0.391,0.002,31,5,0.351,0.002,64,6,0.261,0.001,62,5,0.241,0.001,2520,6,0.179,8.00E-04,2565,5,0.172,8.00E-04
Pycnochromis vanderbilti,unknown,O'ahu,33,6,0.492,0.001,33,2,0.061,0,26,7,0.415,0.002,26,7,0.415,0.002,54,7,0.275,0.001,54,7,0.275,0.001,2436,7,0.183,8.00E-04,2453,7,0.185,8.00E-04
Pycnochromis vanderbilti,unknown,Kaua'i,30,6,0.529,0.001,30,5,0.253,0.001,29,8,0.48,0.002,29,8,0.48,0.002,45,8,0.426,0.002,45,8,0.426,0.002,1833,8,0.397,0.0019,1860,8,0.388,0.0018
Cephalopholis argus,roi,all,180,10,0.577,0.001,NA,NA,NA,NA,13,2,0.462,0.002,13,2,0.462,0.002,24,2,0.344,0.001,24,2,0.344,0.001,340,2,0.299,0.0013,354,2,0.308,0.0013
Cephalopholis argus,roi,Hawai'i Island,51,5,0.519,0.001,NA,NA,NA,NA,4,2,0.5,0.002,4,2,0.5,0.002,5,2,0.4,0.002,5,2,0.4,0.002,64,2,0.119,5.00E-04,71,2,0.203,9.00E-04
Cephalopholis argus,roi,Maui,53,4,0.552,0.001,NA,NA,NA,NA,5,2,0.6,0.003,5,2,0.6,0.003,14,2,0.363,0.002,14,2,0.363,0.002,188,2,0.324,0.0014,191,2,0.32,0.0014
Cephalopholis argus,roi,O'ahu,53,6,0.62,0.001,NA,NA,NA,NA,2,2,1,0.004,2,2,1,0.004,2,2,1,0.004,2,2,1,0.004,42,2,0.511,0.0022,44,2,0.511,0.0022
Cephalopholis argus,roi,Kaua'i,23,5,0.652,0.001,NA,NA,NA,NA,2,1,0,0,2,1,0,0,3,1,0,0,3,1,0,0,46,1,0,0,48,1,0,0
Stenella longirostris ,nai'a,all,151,15,0.636,0.007,NA,NA,NA,NA,12,5,0.576,0.004,12,5,0.576,0.004,23,5,0.652,0.004,23,5,0.652,0.004,524,5,0.579,0.0038,538,5,0.568,0.0037
Stenella longirostris ,nai'a,Hawai'i Island,79,12,0.721,0.009,NA,NA,NA,NA,5,3,0.7,0.004,5,3,0.7,0.004,13,3,0.641,0.004,12,3,0.591,0.003,275,3,0.559,0.0031,272,3,0.538,0.003
Stenella longirostris ,nai'a,O'ahu,40,6,0.582,0.005,NA,NA,NA,NA,1,1,0,0,1,1,0,0,3,1,0,0,3,1,0,0,55,1,0,0,56,1,0,0
Stenella longirostris ,nai'a,Kaua'i,32,5,0.429,0.005,NA,NA,NA,NA,6,2,0.333,0.001,6,2,0.333,0.001,7,2,0.286,0.001,8,2,0.429,0.002,194,2,0.291,0.0012,210,2,0.31,0.0013
Triaenodon obesus,manō lālākea,all,41,4,0.472,0.002,NA,NA,NA,NA,5,3,0.7,0.003,5,3,0.7,0.003,9,3,0.417,0.002,9,3,0.417,0.002,406,3,0.183,8.00E-04,414,3,0.18,8.00E-04
Triaenodon obesus,manō lālākea,Hawai'i Island,7,1,0,0,NA,NA,NA,NA,1,1,0,0,1,1,0,0,2,1,0,0,2,1,0,0,53,1,0,0,55,1,0,0
Triaenodon obesus,manō lālākea,Maui,17,4,0.596,0.003,NA,NA,NA,NA,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,46,1,0,0,47,1,0,0
Triaenodon obesus,manō lālākea,O'ahu,17,2,0.485,0.002,NA,NA,NA,NA,3,3,1,0.006,3,3,1,0.006,6,3,0.6,0.003,6,3,0.6,0.003,307,3,0.236,0.001,312,3,0.232,0.001
