Scientific_Name,HawaiianName,Population,n_long,H_long,h_long,π_long,tajima_long,fs_long,R2_long,r_long,n_short,H_short,h_short,π_short,tajima_short,fs_short,R2_short,r_short,n_pa,H_pa,h_pa,π_pa,tajima_pa,fs_pa,R2_pa,r_pa,n_scaled,H_scaled,h_scaled,π_scaled,tajima_scaled,fs_scaled,R2_scaled,r_scaled,n_raw,H_raw,h_raw,π_raw,tajima_raw,fs_raw,R2_raw,r_raw
Lutjanus fulvus,toʻau,O'ahu,40,7,0.733,0.006,1.37,1.571,0.171,0.193,NA,NA,NA,NA,NA,NA,NA,NA,8,2,0.25,0.001,-1.055,-0.182,0.331,0.313,17,2,0.118,0.001,-1.164,-0.748,0.235,0.599,713,2,0.078,3.00E-04,-0.375,,0.039,0.718
Lutjanus fulvus,toʻau,Kaua'i,27,7,0.806,0.008,1.401,1.395,0.183,0.215,NA,NA,NA,NA,NA,NA,NA,NA,10,3,0.378,0.003,-1.562,-0.459,0.213,0.222,16,3,0.342,0.003,-1.002,-0.067,0.112,0.355,480,3,0.188,0.0014,-0.355,,0.056,0.616
Lutjanus kasmira,taʻape,all,86,63,0.9923,0.0275,-0.326,-37.928,0.073,0.00317,NA,NA,NA,NA,NA,NA,NA,NA,12,4,0.682,0.0038,-0.379,-0.895,0.154,0.149,23,4,0.64,0.0033,-0.144,-0.474,0.132,0.19,406,4,0.59,0.0029,0.716,,0.113,0.185
Lutjanus kasmira,taʻape,O'ahu,50,40,0.9918,0.0267,-0.325,-18.77,0.08,0.00342,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,27,1,NA,NA,NA,,NA,
Lutjanus kasmira,taʻape,Kaua'i,36,30,0.9889,0.0284,-0.0125,-10.887,0.092,0.0106,NA,NA,NA,NA,NA,NA,NA,NA,10,4,0.733,0.004,-0.431,-1.020,0.16,0.222,21,4,0.648,0.0033,-0.197,-0.549,0.133,0.205,379,4,0.588,0.0029,0.687,,0.113,0.187
Mulloidichthys flavolineatus,wekeʻā,all,225,43,0.714,0.002,-2.246,-32.866,0.018,0.056,225,23,0.453,0.003,-2.074,-30.169,0.019,0.124,59,16,0.447,0.003,-2.454,-20.177,0.027,0.111,109,16,0.377,0.002,-2.321,-20.508,0.02,0.165,3730,16,0.305,0.0016,-1.629,,0.011,0.241
Mulloidichthys flavolineatus,wekeʻā,Hawai'i Island,83,17,0.531,0.001,-2.204,-15.47,0.03,0.113,83,5,0.095,0.001,-1.934,-6.079,0.057,0.164,13,6,0.641,0.003,-1.863,-4.009,0.097,0.188,21,6,0.495,0.002,-1.795,-4.097,0.081,0.141,795,6,0.285,0.0013,-0.917,,0.03,0.264
Mulloidichthys flavolineatus,wekeʻā,Maui,25,6,0.367,0.001,-1.949,-3.854,0.083,0.205,25,5,0.3,0.001,-1.886,-4.051,0.092,0.103,19,5,0.386,0.002,-1.861,-3.571,0.102,0.17,30,5,0.361,0.002,-1.574,-3.219,0.07,0.186,967,5,0.25,0.0011,-0.754,,0.033,0.313
Mulloidichthys flavolineatus,wekeʻā,O'ahu,57,27,0.868,0.003,-1.822,-23.902,0.042,0.0384,57,19,0.833,0.007,-1.494,-14.692,0.052,0.179,20,5,0.368,0.003,-1.586,-2.133,0.081,0.224,46,5,0.348,0.002,-1.382,-2.074,0.054,0.204,1629,5,0.352,0.0019,-0.441,,0.045,0.192
Mulloidichthys flavolineatus,wekeʻā,Kaua'i,60,13,0.539,0.001,-2.046,-9.264,0.041,0.123,60,4,0.098,0.001,-1.844,-3.899,0.077,0.193,7,3,0.524,0.003,-0.275,-0.438,0.212,0.0952,12,3,0.318,0.002,-0.85,-0.725,0.158,0.289,339,3,0.186,0.0011,-0.255,,0.062,0.487
